rank_week_filename,url_link
WR 2014-05-02 (Week 18).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-05-02 (Week 18).xlsx
WR 2014-05-08 (Week 19).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-05-08 (Week 19).xlsx
WR 2014-05-15 (Week 20).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-05-15 (Week 20).xlsx
WR 2014-05-22 (Week 21).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-05-22 (Week 21).xlsx
WR 2014-05-29 (Week 22).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-05-29 (Week 22).xlsx
WR 2014-06-05 (Week 23).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-06-05 (Week 23).xls
WR 2014-06-12 (Week 24).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-06-12 (Week 24).xlsx
WR 2014-06-19 (Week 25).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-06-19 (Week 25).xlsx
WR 2014-06-26 (Week 26).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-06-26 (Week 26).xlsx
WR 2014-07-03 (Week 27).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-07-03 (Week 27).xlsx
WR 2014-07-10 (Week 28).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-07-10 (Week 28).xlsx
WR 2014-07-17 (Week 29).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-07-17 (Week 29).xlsx
WR 2014-07-24 (Week 30).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-07-24 (Week 30).xlsx
WR 2014-07-31 (Week 31).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-07-31 (Week 31).xlsx
WR 2014-08-07 (Week 32).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-08-07 (Week 32).xlsx
WR 2014-08-14 (Week 33).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-08-14 (Week 33).xlsx
WR 2014-08-21 (Week 34).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-08-21 (Week 34).xlsx
WR 2014-08-28 (Week 35).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-08-28 (Week 35).xlsx
